"","Tempo","ID_maquina","volt","rotacao","pressao","vibracao","tipo_erro","falha","modelo","idade_maquina","comp_subst"
"1",2016-02-21 00:00:00,"19",NA,469.722498360514,94.6686703267151,41.20800559132,NA,NA,"model3",17,NA
"2",2016-02-21 00:00:00,"20",172.201825715459,407.966654564663,115.566895010322,35.8838997149555,NA,NA,"model2",16,NA
"3",2016-02-21 01:00:00,"10",179.935170090262,484.246173935019,93.6593436514907,38.9994722701213,NA,NA,"model3",10,NA
"4",2016-02-21 01:00:00,"11",NA,449.543923213131,88.744837412112,45.5106663898425,NA,NA,"model2",6,NA
"5",2016-02-21 01:00:00,"12",181.218656861615,387.277418938704,85.8243624491727,31.5202435554306,NA,NA,"model3",9,NA
"6",2016-02-21 01:00:00,"13",NA,404.866408550758,85.9845588091448,42.1855950638755,NA,NA,"model1",15,NA
"7",2016-02-21 01:00:00,"14",NA,421.278597729535,105.356188853811,45.9848044652687,NA,NA,"model3",1,NA
"8",2016-02-21 01:00:00,"15",NA,472.60322838791,86.0116297256343,40.6278417324861,NA,NA,"model3",14,NA
"9",2016-02-21 01:00:00,"16",NA,528.103992100603,97.9740396779947,32.4700900163013,NA,NA,"model1",3,NA
"10",2016-02-21 01:00:00,"17",199.853883671619,415.676433783229,81.9446496593893,32.3639944506536,NA,NA,"model1",14,NA
"11",2016-02-21 01:00:00,"18",NA,385.716335377905,101.085295075419,35.6731003886674,NA,NA,"model3",15,NA
"12",2016-02-21 01:00:00,"19",NA,478.273411988171,108.942635254522,40.2213298887684,NA,NA,"model3",17,NA
"13",2016-02-21 01:00:00,"20",NA,469.417286607054,105.988101390451,41.156329937988,NA,NA,"model2",16,NA
"14",2016-02-21 02:00:00,"10",NA,466.335430613493,131.551828280431,40.6048646058222,NA,NA,"model3",10,NA
"15",2016-02-21 02:00:00,"11",NA,456.032384376305,86.4152369069599,38.8382843280109,NA,NA,"model2",6,NA
"16",2016-02-21 02:00:00,"12",192.308882407053,424.456357137306,100.78280836017,42.1914500316083,NA,NA,"model3",9,NA
"17",2016-02-21 02:00:00,"13",180.876038341695,534.015630499933,96.4318240636183,36.0150198489384,NA,NA,"model1",15,NA
"18",2016-02-21 02:00:00,"14",202.627454722658,391.726224752682,86.2645794491118,37.875734067532,NA,NA,"model3",1,NA
"19",2016-02-21 02:00:00,"15",NA,343.079381839054,87.9208768084769,44.6829565921949,NA,NA,"model3",14,NA
"20",2016-02-21 02:00:00,"16",200.941957454403,407.935806226301,86.0787689007803,44.518553528699,NA,NA,"model1",3,NA
"21",2016-02-21 02:00:00,"17",175.396946031168,390.74494988705,93.7684942698886,38.0867775383659,NA,NA,"model1",14,NA
"22",2016-02-21 02:00:00,"18",151.509271396858,407.43072513197,99.3301451622005,44.1991396125477,NA,NA,"model3",15,NA
"23",2016-02-21 02:00:00,"19",181.043958436612,536.046283776791,89.5688688196508,38.0488793329494,NA,NA,"model3",17,NA
"24",2016-02-21 02:00:00,"20",189.645011185386,363.818685896749,87.1388202273124,47.6115115172632,NA,NA,"model2",16,NA
"25",2016-02-21 03:00:00,"10",178.060851545377,389.113925252626,122.284080108693,38.5454119074917,NA,NA,"model3",10,NA
"26",2016-02-21 03:00:00,"11",NA,490.489120150075,108.0057422996,28.4309246968536,NA,NA,"model2",6,NA
"27",2016-02-21 03:00:00,"12",166.517234450988,386.177213731451,117.291302515978,42.4669024094324,NA,NA,"model3",9,NA
"28",2016-02-21 03:00:00,"13",NA,449.80000197036,107.073043933393,28.9379338437314,NA,NA,"model1",15,NA
"29",2016-02-21 03:00:00,"14",NA,390.352250833026,114.271490752948,44.8434499548823,NA,NA,"model3",1,NA
"30",2016-02-21 03:00:00,"15",NA,512.472301101571,104.470043617555,49.5737020538124,NA,NA,"model3",14,NA
"31",2016-02-21 03:00:00,"16",NA,461.675690803947,117.95261033422,34.800151111388,NA,NA,"model1",3,NA
"32",2016-02-21 03:00:00,"17",171.213885454458,465.791456635608,86.1358297960168,42.3929854149636,NA,NA,"model1",14,NA
"33",2016-02-21 03:00:00,"18",NA,410.067882924959,104.454570752324,NA,NA,NA,"model3",15,NA
"34",2016-02-21 03:00:00,"19",NA,408.914571366979,105.61785941902,40.7715470955895,NA,NA,"model3",17,NA
"35",2016-02-21 03:00:00,"20",NA,441.902021295795,91.0037719828513,39.0288404747144,NA,NA,"model2",16,NA
"36",2016-02-21 04:00:00,"10",NA,471.087761400856,138.086706940519,NA,NA,NA,"model3",10,NA
"37",2016-02-21 04:00:00,"11",186.063577730844,454.587471898231,84.9776001113804,28.2397758549274,NA,NA,"model2",6,NA
"38",2016-02-21 04:00:00,"12",NA,381.935260478807,100.713513313017,37.7834003949063,NA,NA,"model3",9,NA
"39",2016-02-21 04:00:00,"13",NA,436.850310163059,80.7636107920436,31.0996057548561,NA,NA,"model1",15,NA
"40",2016-02-21 04:00:00,"14",184.318355871921,450.49132663248,110.292412001712,42.2640702382048,NA,NA,"model3",1,NA
"41",2016-02-21 04:00:00,"15",NA,496.898583847872,102.472764513089,33.3171857377276,NA,NA,"model3",14,NA
"42",2016-02-21 04:00:00,"16",181.208887757519,514.86119533987,88.4628903907037,41.3738295505828,NA,NA,"model1",3,NA
